budget_index,trial_id,metric,running_best,decision
1,resnet_real_3x5_memory_packet-trial-001,,,failed_invalid
2,resnet_real_3x5_memory_packet-trial-002,,,failed_invalid
3,resnet_real_3x5_memory_packet-trial-003,,,failed_invalid
4,resnet_real_3x5_memory_packet-trial-004,,,failed_invalid
5,resnet_real_3x5_memory_packet-trial-005,0.780311,0.780311,kept
6,resnet_real_3x5_memory_packet-trial-006,0.780311,0.780311,discarded
7,resnet_real_3x5_memory_packet-trial-007,,0.780311,failed_invalid
8,resnet_real_3x5_memory_packet-trial-008,0.780311,0.780311,discarded
9,resnet_real_3x5_memory_packet-trial-009,0.7794220000000001,0.780311,discarded
10,resnet_real_3x5_memory_packet-trial-010,,0.780311,failed_invalid
11,resnet_real_3x5_memory_packet-trial-011,0.770133,0.780311,discarded
12,resnet_real_3x5_memory_packet-trial-012,,0.780311,failed_invalid
13,resnet_real_3x5_memory_packet-trial-013,,0.780311,failed_invalid
14,resnet_real_3x5_memory_packet-trial-014,,0.780311,failed_invalid
15,resnet_real_3x5_memory_packet-trial-015,0.7736000000000001,0.780311,discarded
