campaign_id,failure_category,count,rate,total_trials
kdd_main_5trial,runtime_error,3,0.6,5
ablation_none,runtime_error,3,0.6,5
ablation_append_only_summary,runtime_error,3,0.6,5
ablation_append_only_summary_with_rationale,runtime_error,3,0.6,5
p8_memory10_none,degraded_metric,7,0.7,10
p8_memory10_append_only_summary,proposal_precondition_failed,1,0.1,10
p8_memory10_append_only_summary,degraded_metric,5,0.5,10
p8_memory10_append_only_summary_with_rationale,proposal_precondition_failed,1,0.1,10
p8_memory10_append_only_summary_with_rationale,degraded_metric,5,0.5,10
lg_ablation2_none,degraded_metric,9,0.9,10
lg_ablation2_append_only_summary,degraded_metric,6,0.6,10
lg_ablation2_append_only_summary_with_rationale,degraded_metric,9,0.9,10
kdd_stress_scope,invalid_edit_scope,1,1.0,1
kdd_stress_noop,no_op_patch,1,1.0,1
